layer_id,display_name,domain,source_family,resolution,temporal_basis,current_status,referenced_by_current_app,code_exists,role,risk_direction,recommended_score_method,evidence_grade,primary_dimension,priority,input_requirements,notes,source_reference
SDII,Simple daily precipitation intensity,terrestrial,NASA NEX-GDDP-CMIP6 derived,~25 km,daily -> annual -> 30-year,CODE_READY_VERIFY_OUTPUT,No,Yes,scoring,high,fixed_relative,B,extreme_rainfall,High,daily pr/tas/tasmax/hurs as applicable,Current compound workflow; confirm completed output rasters and merge catalogue into app.,Compound_Drought_Wetspell_Livestock_Indices_NASAdataV2.R
R10MM,Days pr >=10 mm,terrestrial,NASA NEX-GDDP-CMIP6 derived,~25 km,daily -> annual -> 30-year,CODE_READY_VERIFY_OUTPUT,No,Yes,supporting,high,fixed_relative,B,extreme_rainfall,Medium,daily pr/tas/tasmax/hurs as applicable,Current compound workflow; confirm completed output rasters and merge catalogue into app.,Compound_Drought_Wetspell_Livestock_Indices_NASAdataV2.R
R100MM,Days pr >=100 mm,terrestrial,NASA NEX-GDDP-CMIP6 derived,~25 km,daily -> annual -> 30-year,CODE_READY_VERIFY_OUTPUT,No,Yes,supporting,high,fixed_relative,B,extreme_rainfall,High,daily pr/tas/tasmax/hurs as applicable,Current compound workflow; confirm completed output rasters and merge catalogue into app.,Compound_Drought_Wetspell_Livestock_Indices_NASAdataV2.R
MAX_10DAY_PR,Maximum rolling 10-day rainfall,terrestrial,NASA NEX-GDDP-CMIP6 derived,~25 km,daily -> annual -> 30-year,CODE_READY_VERIFY_OUTPUT,No,Yes,scoring,high,fixed_relative,B,extreme_rainfall,High,daily pr/tas/tasmax/hurs as applicable,Current compound workflow; confirm completed output rasters and merge catalogue into app.,Compound_Drought_Wetspell_Livestock_Indices_NASAdataV2.R
MAX_15DAY_PR,Maximum rolling 15-day rainfall,terrestrial,NASA NEX-GDDP-CMIP6 derived,~25 km,daily -> annual -> 30-year,CODE_READY_VERIFY_OUTPUT,No,Yes,scoring,high,fixed_relative,B,extreme_rainfall,High,daily pr/tas/tasmax/hurs as applicable,Current compound workflow; confirm completed output rasters and merge catalogue into app.,Compound_Drought_Wetspell_Livestock_Indices_NASAdataV2.R
R95PTOT_BASE,Rainfall above baseline wet-day 95th percentile,terrestrial,NASA NEX-GDDP-CMIP6 derived,~25 km,daily -> annual -> 30-year,CODE_READY_VERIFY_OUTPUT,No,Yes,scoring,high,fixed_relative,B,extreme_rainfall,High,daily pr/tas/tasmax/hurs as applicable,Current compound workflow; confirm completed output rasters and merge catalogue into app.,Compound_Drought_Wetspell_Livestock_Indices_NASAdataV2.R
R99PTOT_BASE,Rainfall above baseline wet-day 99th percentile,terrestrial,NASA NEX-GDDP-CMIP6 derived,~25 km,daily -> annual -> 30-year,CODE_READY_VERIFY_OUTPUT,No,Yes,scoring,high,fixed_relative,B,extreme_rainfall,Very High,daily pr/tas/tasmax/hurs as applicable,Current compound workflow; confirm completed output rasters and merge catalogue into app.,Compound_Drought_Wetspell_Livestock_Indices_NASAdataV2.R
R95P_DAYS_BASE,Days above baseline wet-day 95th percentile,terrestrial,NASA NEX-GDDP-CMIP6 derived,~25 km,daily -> annual -> 30-year,CODE_READY_VERIFY_OUTPUT,No,Yes,supporting,high,fixed_relative,B,extreme_rainfall,High,daily pr/tas/tasmax/hurs as applicable,Current compound workflow; confirm completed output rasters and merge catalogue into app.,Compound_Drought_Wetspell_Livestock_Indices_NASAdataV2.R
R99P_DAYS_BASE,Days above baseline wet-day 99th percentile,terrestrial,NASA NEX-GDDP-CMIP6 derived,~25 km,daily -> annual -> 30-year,CODE_READY_VERIFY_OUTPUT,No,Yes,supporting,high,fixed_relative,B,extreme_rainfall,Very High,daily pr/tas/tasmax/hurs as applicable,Current compound workflow; confirm completed output rasters and merge catalogue into app.,Compound_Drought_Wetspell_Livestock_Indices_NASAdataV2.R
R95P_FRAC_BASE,Fraction of wet-day rainfall above baseline 95th,terrestrial,NASA NEX-GDDP-CMIP6 derived,~25 km,daily -> annual -> 30-year,CODE_READY_VERIFY_OUTPUT,No,Yes,supporting,high,fixed_relative,B,extreme_rainfall,Medium,daily pr/tas/tasmax/hurs as applicable,Current compound workflow; confirm completed output rasters and merge catalogue into app.,Compound_Drought_Wetspell_Livestock_Indices_NASAdataV2.R
R99P_FRAC_BASE,Fraction of wet-day rainfall above baseline 99th,terrestrial,NASA NEX-GDDP-CMIP6 derived,~25 km,daily -> annual -> 30-year,CODE_READY_VERIFY_OUTPUT,No,Yes,supporting,high,fixed_relative,B,extreme_rainfall,High,daily pr/tas/tasmax/hurs as applicable,Current compound workflow; confirm completed output rasters and merge catalogue into app.,Compound_Drought_Wetspell_Livestock_Indices_NASAdataV2.R
HOT_DRY_DAYS_35_PR5,Hot-dry days: Tmax >=35 C and pr <5 mm,terrestrial,NASA NEX-GDDP-CMIP6 derived,~25 km,daily -> annual -> 30-year,CODE_READY_VERIFY_OUTPUT,No,Yes,scoring,high,fixed_relative,B,hot_dry,Very High,daily pr/tas/tasmax/hurs as applicable,Current compound workflow; confirm completed output rasters and merge catalogue into app.,Compound_Drought_Wetspell_Livestock_Indices_NASAdataV2.R
HOT_DRY_DAYS_35_PR1,Hot-dry days: Tmax >=35 C and pr <1 mm,terrestrial,NASA NEX-GDDP-CMIP6 derived,~25 km,daily -> annual -> 30-year,CODE_READY_VERIFY_OUTPUT,No,Yes,supporting,high,fixed_relative,B,hot_dry,High,daily pr/tas/tasmax/hurs as applicable,Current compound workflow; confirm completed output rasters and merge catalogue into app.,Compound_Drought_Wetspell_Livestock_Indices_NASAdataV2.R
HOT_DRY_SPELL_MAX,Longest hot-dry spell,terrestrial,NASA NEX-GDDP-CMIP6 derived,~25 km,daily -> annual -> 30-year,CODE_READY_VERIFY_OUTPUT,No,Yes,scoring,high,fixed_relative,B,hot_dry,Very High,daily pr/tas/tasmax/hurs as applicable,Current compound workflow; confirm completed output rasters and merge catalogue into app.,Compound_Drought_Wetspell_Livestock_Indices_NASAdataV2.R
WBGT30_DAYS,Days approximate shade WBGT >=30 C,terrestrial,NASA NEX-GDDP-CMIP6 derived,~25 km,daily -> annual -> 30-year,CODE_READY_VERIFY_OUTPUT,No,Yes,scoring,high,threshold_direct,B,worker_heat,Very High,daily pr/tas/tasmax/hurs as applicable,Current compound workflow; confirm completed output rasters and merge catalogue into app.,Compound_Drought_Wetspell_Livestock_Indices_NASAdataV2.R
CATTLE_THI75_DAYS,Days cattle THI >=75,terrestrial,NASA NEX-GDDP-CMIP6 derived,~25 km,daily -> annual -> 30-year,CODE_READY_VERIFY_OUTPUT,No,Yes,scoring,high,threshold_direct,B,livestock_heat,High,daily pr/tas/tasmax/hurs as applicable,Current compound workflow; confirm completed output rasters and merge catalogue into app.,Compound_Drought_Wetspell_Livestock_Indices_NASAdataV2.R
CATTLE_THI79_DAYS,Days cattle THI >=79,terrestrial,NASA NEX-GDDP-CMIP6 derived,~25 km,daily -> annual -> 30-year,CODE_READY_VERIFY_OUTPUT,No,Yes,scoring,high,threshold_direct,B,livestock_heat,High,daily pr/tas/tasmax/hurs as applicable,Current compound workflow; confirm completed output rasters and merge catalogue into app.,Compound_Drought_Wetspell_Livestock_Indices_NASAdataV2.R
CATTLE_THI84_DAYS,Days cattle THI >=84,terrestrial,NASA NEX-GDDP-CMIP6 derived,~25 km,daily -> annual -> 30-year,CODE_READY_VERIFY_OUTPUT,No,Yes,scoring,high,threshold_direct,B,livestock_heat,High,daily pr/tas/tasmax/hurs as applicable,Current compound workflow; confirm completed output rasters and merge catalogue into app.,Compound_Drought_Wetspell_Livestock_Indices_NASAdataV2.R
CATTLE_THI_LOAD72,Annual accumulated cattle THI above 72,terrestrial,NASA NEX-GDDP-CMIP6 derived,~25 km,daily -> annual -> 30-year,CODE_READY_VERIFY_OUTPUT,No,Yes,scoring,high,threshold_direct,B,livestock_heat,Very High,daily pr/tas/tasmax/hurs as applicable,Current compound workflow; confirm completed output rasters and merge catalogue into app.,Compound_Drought_Wetspell_Livestock_Indices_NASAdataV2.R
CATTLE_THI72_SPELL_MAX,Longest cattle THI >=72 spell,terrestrial,NASA NEX-GDDP-CMIP6 derived,~25 km,daily -> annual -> 30-year,CODE_READY_VERIFY_OUTPUT,No,Yes,scoring,high,threshold_direct,B,livestock_heat,High,daily pr/tas/tasmax/hurs as applicable,Current compound workflow; confirm completed output rasters and merge catalogue into app.,Compound_Drought_Wetspell_Livestock_Indices_NASAdataV2.R
MARINE_SST,Sea surface temperature,marine,Blue Communities / University of Plymouth,~0.1 degree (~11 km),monthly annual files -> multi-year climatology,MARINE_CODE_READY_VERIFY_OUTPUT,No,Yes,scoring,high,fixed_relative,B,marine_warming,Very High,annual marine NetCDF,Current v9 marine workflow builds climatologies and change-from-historical layers; final marine AOI still required for final products.,Sabah_Marine_Vision_BlueCommunities_processing_v9.R
MARINE_BOTTOM_T,Bottom temperature,marine,Blue Communities / University of Plymouth,~0.1 degree (~11 km),monthly annual files -> multi-year climatology,MARINE_CODE_READY_VERIFY_OUTPUT,No,Yes,scoring,high,fixed_relative,B,marine_warming,High,annual marine NetCDF,Current v9 marine workflow builds climatologies and change-from-historical layers; final marine AOI still required for final products.,Sabah_Marine_Vision_BlueCommunities_processing_v9.R
MARINE_SALINITY,Surface salinity,marine,Blue Communities / University of Plymouth,~0.1 degree (~11 km),monthly annual files -> multi-year climatology,MARINE_CODE_READY_VERIFY_OUTPUT,No,Yes,supporting,mixed,fixed_relative,B,marine_salinity,Medium,annual marine NetCDF,Current v9 marine workflow builds climatologies and change-from-historical layers; final marine AOI still required for final products.,Sabah_Marine_Vision_BlueCommunities_processing_v9.R
MARINE_O2_BOTTOM,Bottom dissolved oxygen,marine,Blue Communities / University of Plymouth,~0.1 degree (~11 km),monthly annual files -> multi-year climatology,MARINE_CODE_READY_VERIFY_OUTPUT,No,Yes,scoring,low,fixed_relative,B,marine_deoxygenation,Very High,annual marine NetCDF,Current v9 marine workflow builds climatologies and change-from-historical layers; final marine AOI still required for final products.,Sabah_Marine_Vision_BlueCommunities_processing_v9.R
MARINE_PH_SURFACE,Surface pH,marine,Blue Communities / University of Plymouth,~0.1 degree (~11 km),monthly annual files -> multi-year climatology,MARINE_CODE_READY_VERIFY_OUTPUT,No,Yes,scoring,low,fixed_relative,B,marine_acidification,Very High,annual marine NetCDF,Current v9 marine workflow builds climatologies and change-from-historical layers; final marine AOI still required for final products.,Sabah_Marine_Vision_BlueCommunities_processing_v9.R
MARINE_PH_BOTTOM,Bottom pH,marine,Blue Communities / University of Plymouth,~0.1 degree (~11 km),monthly annual files -> multi-year climatology,MARINE_CODE_READY_VERIFY_OUTPUT,No,Yes,scoring,low,fixed_relative,B,marine_acidification,High,annual marine NetCDF,Current v9 marine workflow builds climatologies and change-from-historical layers; final marine AOI still required for final products.,Sabah_Marine_Vision_BlueCommunities_processing_v9.R
MARINE_ARAG_SURFACE,Surface aragonite saturation state,marine,Blue Communities / University of Plymouth,~0.1 degree (~11 km),monthly annual files -> multi-year climatology,MARINE_CODE_READY_VERIFY_OUTPUT,No,Yes,scoring,low,fixed_relative,B,marine_acidification,High,annual marine NetCDF,Current v9 marine workflow builds climatologies and change-from-historical layers; final marine AOI still required for final products.,Sabah_Marine_Vision_BlueCommunities_processing_v9.R
MARINE_NETPP,Column-total net primary production,marine,Blue Communities / University of Plymouth,~0.1 degree (~11 km),monthly annual files -> multi-year climatology,MARINE_CODE_READY_VERIFY_OUTPUT,No,Yes,scoring,mixed,fixed_relative,B,marine_productivity,High,annual marine NetCDF,Current v9 marine workflow builds climatologies and change-from-historical layers; final marine AOI still required for final products.,Sabah_Marine_Vision_BlueCommunities_processing_v9.R
MARINE_O2_SURFACE,Surface dissolved oxygen,marine,Blue Communities / University of Plymouth,~0.1 degree (~11 km),monthly annual files -> multi-year climatology,MARINE_CODE_READY_VERIFY_OUTPUT,No,Yes,supporting,low,fixed_relative,B,marine_deoxygenation,Medium,annual marine NetCDF,Current v9 marine workflow builds climatologies and change-from-historical layers; final marine AOI still required for final products.,Sabah_Marine_Vision_BlueCommunities_processing_v9.R
MARINE_ARAG_BOTTOM,Bottom aragonite saturation state,marine,Blue Communities / University of Plymouth,~0.1 degree (~11 km),monthly annual files -> multi-year climatology,MARINE_CODE_READY_VERIFY_OUTPUT,No,Yes,supporting,low,fixed_relative,B,marine_acidification,Medium,annual marine NetCDF,Current v9 marine workflow builds climatologies and change-from-historical layers; final marine AOI still required for final products.,Sabah_Marine_Vision_BlueCommunities_processing_v9.R
